Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
12.7,No Sugar,0.076,Household,209.05,1987,High,Tier 2,Supermarket Type1,4732.79
13.6,Low Sugar,0.08,Snack Foods,127.68,2009,Medium,Tier 2,Supermarket Type2,3271.17
10.53,Low Sugar,0.024,Meat,89.82,1998,Small,Tier 3,Food Mart,1803.84
12.16,Low Sugar,0.034,Fruits and Vegetables,156.17,2009,Medium,Tier 2,Supermarket Type2,3529.72
10.5,Low Sugar,0.031,Snack Foods,99.99,1998,Small,Tier 3,Food Mart,2003.66
12.39,Regular,0.116,Dairy,128.98,2009,Medium,Tier 2,Supermarket Type2,3023.57
10.92,Low Sugar,0.295,Canned,157.14,2009,Medium,Tier 2,Supermarket Type2,3269.1
13.16,Regular,0.1,Canned,166.38,2009,Medium,Tier 2,Supermarket Type2,3964.74
8.26,Low Sugar,0.042,Meat,94.14,1998,Small,Tier 3,Food Mart,1377.41
11.28,Regular,0.026,Breakfast,116.28,2009,Medium,Tier 2,Supermarket Type2,2514.34
11.98,Low Sugar,0.054,Baking Goods,182.9,1987,High,Tier 2,Supermarket Type1,4035.68
10.23,Low Sugar,0.148,Canned,130.84,2009,Medium,Tier 2,Supermarket Type2,2573.94
12.74,Low Sugar,0.039,Breads,148.4,2009,Medium,Tier 2,Supermarket Type2,3500.19
11.72,Regular,0.101,Baking Goods,116.19,2009,Medium,Tier 2,Supermarket Type2,2610.53
11.75,Low Sugar,0.035,Fruits and Vegetables,197.72,1999,Medium,Tier 1,Departmental Store,4286.72
14.8,Low Sugar,0.089,Snack Foods,198.91,1999,Medium,Tier 1,Departmental Store,6492.44
10.65,Regular,0.132,Frozen Foods,156.8,2009,Medium,Tier 2,Supermarket Type2,3199.93
14.31,Low Sugar,0.031,Snack Foods,173.3,1999,Medium,Tier 1,Departmental Store,4365.89
10.95,Low Sugar,0.073,Baking Goods,97.16,1998,Small,Tier 3,Food Mart,2047.28
10.18,reg,0.152,Soft Drinks,144.85,2009,Medium,Tier 2,Supermarket Type2,2849.82
14.06,Low Sugar,0.038,Snack Foods,114.74,2009,Medium,Tier 2,Supermarket Type2,3110.9
11.62,Low Sugar,0.038,Fruits and Vegetables,155.09,2009,Medium,Tier 2,Supermarket Type2,3383.94
12.76,No Sugar,0.038,Health and Hygiene,150.68,2009,Medium,Tier 2,Supermarket Type2,3552.8
10.56,Low Sugar,0.1,Snack Foods,92.82,1998,Small,Tier 3,Food Mart,1871.6
11.45,Regular,0.073,Frozen Foods,179.48,2009,Medium,Tier 2,Supermarket Type2,3845.16
12.57,Regular,0.168,Canned,162.39,2009,Medium,Tier 2,Supermarket Type2,3748.49
10.78,Low Sugar,0.053,Fruits and Vegetables,193.54,2009,Medium,Tier 2,Supermarket Type2,3981.89
12.81,Regular,0.081,Meat,131.05,2009,Medium,Tier 2,Supermarket Type2,3162.05
8.7,No Sugar,0.141,Household,75.46,1987,High,Tier 2,Supermarket Type1,4483.74
14.57,Low Sugar,0.06,Snack Foods,161.93,1987,High,Tier 2,Supermarket Type1,4191.84
15.62,Low Sugar,0.164,Frozen Foods,133.28,2009,Medium,Tier 2,Supermarket Type2,3843.39
14.65,No Sugar,0.032,Household,226.69,1999,Medium,Tier 1,Departmental Store,5534.2
12.29,No Sugar,0.123,Household,159.9,2009,Medium,Tier 2,Supermarket Type2,3633.8
9.5,Regular,0.035,Hard Drinks,181.02,2009,Medium,Tier 2,Supermarket Type2,3604.83
14.88,Regular,0.099,Canned,146.81,2009,Medium,Tier 2,Supermarket Type2,3951.97
7.65,Low Sugar,0.111,Snack Foods,92.53,1998,Small,Tier 3,Food Mart,1207.64
11.09,Low Sugar,0.063,Breads,135.74,2009,Medium,Tier 2,Supermarket Type2,2868.02
10.76,Low Sugar,0.035,Frozen Foods,138.59,2009,Medium,Tier 2,Supermarket Type2,2851.78
13.67,Low Sugar,0.046,Soft Drinks,165.23,1987,High,Tier 2,Supermarket Type1,4054.5
12.05,Low Sugar,0.05,Frozen Foods,170.25,2009,Medium,Tier 2,Supermarket Type2,3791.25
13.9,Low Sugar,0.063,Frozen Foods,118.24,2009,Medium,Tier 2,Supermarket Type2,3147.07
15.27,Low Sugar,0.076,Soft Drinks,145.34,1987,High,Tier 2,Supermarket Type1,4010.34
12.67,Low Sugar,0.047,Snack Foods,118.07,2009,Medium,Tier 2,Supermarket Type2,4429.15
16.77,Low Sugar,0.007,Snack Foods,187.53,1999,Medium,Tier 1,Departmental Store,5211.42
14.8,No Sugar,0.061,Household,174.32,1999,Medium,Tier 1,Departmental Store,4497.83
9.02,Regular,0.033,Fruits and Vegetables,127.08,1998,Small,Tier 3,Food Mart,2224.43
9.02,Low Sugar,0.131,Snack Foods,180.59,2009,Medium,Tier 2,Supermarket Type2,3319.43
13.09,Low Sugar,0.011,Snack Foods,140.59,2009,Medium,Tier 2,Supermarket Type2,3420.46
9.53,Low Sugar,0.025,Snack Foods,95.43,1998,Small,Tier 3,Food Mart,1691.6
16.62,Regular,0.013,Frozen Foods,183.11,1999,Medium,Tier 1,Departmental Store,5088.56
15.69,Low Sugar,0.024,Snack Foods,153.0,1999,Medium,Tier 1,Departmental Store,4262.12
14.61,Regular,0.039,Frozen Foods,188.81,1987,High,Tier 2,Supermarket Type1,4751.13
13.38,No Sugar,0.03,Household,130.7,2009,Medium,Tier 2,Supermarket Type2,3282.76
16.64,Low Sugar,0.074,Frozen Foods,177.15,1999,Medium,Tier 1,Departmental Store,6747.7
11.41,No Sugar,0.071,Health and Hygiene,120.3,2009,Medium,Tier 2,Supermarket Type2,2624.84
9.23,No Sugar,0.091,Health and Hygiene,145.85,2009,Medium,Tier 2,Supermarket Type2,2656.13
14.32,Low Sugar,0.058,Meat,156.33,1987,High,Tier 2,Supermarket Type1,4020.89
10.89,Low Sugar,0.085,Baking Goods,122.89,2009,Medium,Tier 2,Supermarket Type2,2561.39
15.0,Regular,0.032,Soft Drinks,199.97,1999,Medium,Tier 1,Departmental Store,5068.07
11.95,Low Sugar,0.12,Frozen Foods,127.05,2009,Medium,Tier 2,Supermarket Type2,2886.22
11.86,Low Sugar,0.027,Dairy,169.84,2009,Medium,Tier 2,Supermarket Type2,3741.18
11.19,Regular,0.079,Fruits and Vegetables,89.77,1998,Small,Tier 3,Food Mart,1950.14
11.82,Low Sugar,0.162,Frozen Foods,184.56,1987,High,Tier 2,Supermarket Type1,4033.0
12.33,No Sugar,0.212,Household,140.7,2009,Medium,Tier 2,Supermarket Type2,3250.28
17.6,Regular,0.031,Snack Foods,158.67,1999,Medium,Tier 1,Departmental Store,4809.97
8.55,Low Sugar,0.092,Snack Foods,110.85,1998,Small,Tier 3,Food Mart,1786.19
15.58,No Sugar,0.045,Health and Hygiene,140.46,2009,Medium,Tier 2,Supermarket Type2,3980.67
13.97,Low Sugar,0.121,Baking Goods,170.29,1999,Medium,Tier 1,Departmental Store,4226.4
12.42,Regular,0.018,Snack Foods,157.01,2009,Medium,Tier 2,Supermarket Type2,3604.94
17.39,Low Sugar,0.07,Soft Drinks,137.14,1999,Medium,Tier 1,Departmental Store,4320.56
16.43,Low Sugar,0.046,Frozen Foods,198.47,1999,Medium,Tier 1,Departmental Store,5360.44
16.12,Low Sugar,0.079,Frozen Foods,190.07,1999,Medium,Tier 1,Departmental Store,5116.81
6.65,Low Sugar,0.021,Dairy,127.04,1998,Small,Tier 3,Food Mart,1687.72
14.27,Low Sugar,0.086,Meat,198.91,1987,High,Tier 2,Supermarket Type1,4879.47
13.32,Low Sugar,0.025,Snack Foods,92.42,1987,High,Tier 2,Supermarket Type1,2485.93
13.96,No Sugar,0.067,Health and Hygiene,185.67,1987,High,Tier 2,Supermarket Type1,4538.95
16.45,Low Sugar,0.021,Frozen Foods,199.29,1999,Medium,Tier 1,Departmental Store,5381.25
13.23,Low Sugar,0.03,Snack Foods,154.73,2009,Medium,Tier 2,Supermarket Type2,3740.75
8.31,Low Sugar,0.078,Soft Drinks,85.35,1998,Small,Tier 3,Food Mart,1209.07
12.7,Regular,0.037,Fruits and Vegetables,201.66,1987,High,Tier 2,Supermarket Type1,4582.28
8.28,No Sugar,0.172,Household,116.59,1998,Small,Tier 3,Food Mart,1842.34
11.15,Regular,0.085,Baking Goods,146.19,2009,Medium,Tier 2,Supermarket Type2,3097.14
12.65,No Sugar,0.038,Household,137.61,2009,Medium,Tier 2,Supermarket Type2,3258.76
11.12,Regular,0.066,Soft Drinks,181.96,2009,Medium,Tier 2,Supermarket Type2,3821.81
15.58,Regular,0.009,Canned,164.39,1999,Medium,Tier 1,Departmental Store,4469.76
14.36,Low Sugar,0.024,Dairy,173.68,1999,Medium,Tier 1,Departmental Store,4384.63
